measure,cost
0.18929366287923161,279
0.27471617786187325,391
0.33099785286473049,259
0.40129652864910087,317
0.28699976320151549,280
0.28313194780086998,234
0.26338010679249968,379
0.4758834469931803,312
0.26410540078447153,243
0.20358342665173568,191
0.300182898948331,281
0.091609977324263042,200
0.23026503277286978,74
0.25415754923413569,238
0.30711963929957009,146
0.29920606706955799,199
0.21289642617610424,232
0.2944996686547382,283
0.22330311739995576,330
0.28256490599820955,174
0.24193141704488147,190
0.32742850526803291,148
0.13101177409698664,177
0.26811786567560392,195
0.14874815905743741,215
0.3787372048241614,361
0.44613994578857546,225
0.29102815979043878,184
0.30400321059496338,439
0.32584687926541755,384
0.27335996906817883,436
0.39359943316013224,401
0.30005941770647654,167
0.25708277999114648,197
0.43218604651162795,550
0.30536659108087683,195
0.27900552486187846,252
0.26448098879229076,290
0.17291828793774319,193
0.099556431739773285,153
0.19524163568773237,174
0.19449478930675124,181
0.3267198619797283,502
0.34419164077377962,495
0.1741879850531762,276
0.30254013898873722,268
0.2101401664476566,202
0.18769129864451242,384
0.20107005101406,274
0.20335570469798658,291
0.37597716838317402,340
0.2235749861649142,176
0.36842105263157893,528
0.33001846853246197,207
0.18282906645978797,263
0.24486410616307261,239
0.34832390674575803,287
0.27086825343613813,315
0.17496751840623648,276
0.16598192276088741,281
0.39613021309975166,236
0.040355608830286681,166
0.25161195779601403,121
0.26380597014925378,249
0.26626722588376273,291
0.25909892576559246,256
0.22298266916878245,460
0.08927894936229322,192
0.31301652892561982,253
0.32101708382995636,321
0.059969124807030046,239
0.19654304029304026,260
0.35423060061376593,234
0.25171339563862932,110
0.35836782968657604,304
0.11030716723549487,235
0.16955791829882486,274
0.18042618348857981,294
0.30652503793626706,320
0.32173486890468023,415
0.16429888298449191,137
0.29263245033112584,321
0.32670420510363007,256
0.20913679306328459,171
0.27873770098392125,170
0.15374707259953163,342
0.22723376901649878,202
0.096007604562737645,195
0.2901951394708488,349
0.38697318007662834,243
0.26801114501791162,225
0.15573478828134268,251
0.28013405755229398,352
0.12178011618984982,200
0.17346004121822764,262
0.28344246959775493,341
0.30038892701898884,221
0.27365093700609616,404
0.13743054768114299,146
0.31618347624880905,290
