measure,cost
0.26982392228293872,190
0.28143206957696526,185
0.21370007934408888,519
0.28390723822909347,201
0.23006833712984054,284
0.32938037355469912,285
0.19908015768725359,213
0.26403585211004604,179
0.30296810862014528,194
0.36080632814493491,150
0.17247758645225558,208
0.32993597282111586,331
0.26233766233766231,171
0.203436018957346,297
0.11188751597784401,324
0.15953245932712051,263
0.18295030001132118,242
0.19185563338477979,138
0.18810254163014897,184
0.10756123535676253,107
0.21058728136221477,218
0.1818290926548248,238
0.43917589812609997,224
0.17548940113517897,251
0.27168796234028242,204
0.20651581243184292,268
0.36123840393427975,207
0.25724681625227408,301
0.15488817891373802,196
0.32510729613733913,370
0.35969544393958003,192
0.19893407484648362,209
0.24916123939214527,166
0.22984788597436817,364
0.27086825343613813,543
0.2425764192139738,449
0.19800935002262104,233
0.23537348215380838,402
0.23751399776035828,158
0.23671875000000001,238
0.21489361702127657,405
0.18038398571215952,125
0.26397013067828246,199
0.27063927523286968,217
0.32866905304262928,301
0.31092868137506419,217
0.20873393835924162,148
0.26302083333333331,489
0.24579646017699111,248
0.25944557422669379,259
0.29797172710510145,167
0.1246400658165364,205
0.20599880023995198,246
0.13430851063829788,198
0.19820577516119989,257
0.32571889277076055,230
0.22819701762313602,388
0.29234835137175935,286
0.21793334931671063,305
0.21648269210159682,183
0.22931744004540944,364
0.33118256822508985,293
0.3021895824833401,361
0.24739742804654014,209
0.22025684516598015,424
0.20124867162592985,190
0.2399592714107931,247
0.27448414695520879,152
0.31757011696641935,314
0.33458990175919573,308
0.19477180201414179,235
0.18180727229089164,248
0.22226082927959237,217
0.14161525518788559,281
0.2872378243867757,210
0.1541079812206573,142
0.29180630995030626,341
0.30499944077843644,202
0.44364959839357421,374
0.35794447725930301,285
0.29504713849422387,143
0.27391893927979505,238
0.17842271293375395,175
0.3769879909120416,428
0.26241785113862143,308
0.2908376963350785,234
0.3022866036154675,338
0.34783163265306133,181
0.32665754447070533,184
0.25116228781489891,329
0.22630517589065646,129
0.18820460262741076,217
0.32475884244372988,165
0.28511896760317246,233
0.30371372725905876,356
0.38664398128455973,303
0.29730004060089321,299
0.27070835992342052,197
0.36473066506169122,393
0.24284153005464479,349
