alpha,test,mean,cv_mean,lower_percentile,upper_percentile,exp,step,linear
7.63157894737e-07,precision,0.16518875150553367,0.18233799142751408,0.1436279547790339,0.18859838274932617,67.650889182149953,21.0,49.126215720891103
7.63157894737e-07,recall,0.16881530644828824,0.20045752858864688,0.14685624012638232,0.19485898942420682,67.795520937041175,17.0,45.580767108961496
7.15789473684e-07,F1,0.1692976160141294,0.1731783545742776,0.14785949723998251,0.19843929042832484,60.62899253334507,20.0,45.498333388328362
7.15789473684e-07,accuracy,0.77148936170212767,0.76710035774807006,0.75921985815602844,0.78368794326241131,53.265986769924403,27.0,54.000000000000014
7.15789473684e-07,precision,0.1656329901780266,0.16926406926406926,0.1389496077130255,0.19285417532197757,62.362156590323359,25.0,46.520380294380963
7.15789473684e-07,recall,0.17631227430203567,0.18707331995766824,0.15101568068424803,0.20653705269089884,57.921888038022722,20.0,44.901583768570802
6.68421052632e-07,F1,0.16070815683394998,0.18825872773449046,0.13262232603884927,0.18442200257842714,72.432435926449045,30.0,53.985570209195835
6.68421052632e-07,accuracy,0.77086524822695035,0.75327747442415105,0.75797872340425532,0.78581560283687946,53.562541154344089,31.0,55.538461538461547
6.68421052632e-07,precision,0.15683739679210687,0.16922352743566987,0.13059864540091765,0.17758803696303699,75.460982613198269,33.0,57.353537240421574
6.68421052632e-07,recall,0.16830633807768372,0.21976024592745644,0.13323699421965318,0.19923469387755099,65.580824230372826,30.0,49.536415450258801
6.21052631579e-07,F1,0.17002545343420766,0.16325717228978437,0.14787856374394837,0.1938084270424062,65.231585478225384,16.0,43.594805665479811
6.21052631579e-07,accuracy,0.77351063829787237,0.77561978284064526,0.7622340425531916,0.78546099290780136,48.745202069035436,22.0,48.025641025641043
6.21052631579e-07,precision,0.1683039931582174,0.16361250703942437,0.14118853815101581,0.19698192553575603,63.784809240667393,23.0,45.848100706128349
6.21052631579e-07,recall,0.17433454247310073,0.16540664279204936,0.15225667623041272,0.20027173913043481,63.481246212150154,16.0,41.220993465681829
5.73684210526e-07,F1,0.17389094263610511,0.17758407202172349,0.148456711762359,0.19501113486050653,59.805741578256544,20.0,44.42969824440231
5.73684210526e-07,accuracy,0.77227659574468088,0.76922613443795895,0.75780141843971638,0.78581560283687946,54.36727039387182,35.0,53.846153846153868
5.73684210526e-07,precision,0.17140946815927496,0.16994341479416106,0.14823838737949169,0.19280961421488213,64.839944217122891,19.0,45.719845190069371
5.73684210526e-07,recall,0.1797410038707557,0.19106680903245857,0.14940662785490372,0.20185406698564595,64.91978501156099,16.0,47.268823151296537
5.26315789474e-07,F1,0.16718797902870203,0.17050413791249933,0.13662736290473515,0.19313052473199174,66.835087406442739,27.0,50.758061185925172
