f1,accuracy,precision,recall
0.0,0.89116694928318174,0.0,0.0
0.0,0.88615692924310163,0.0,0.0
0.0,0.88114690920302141,0.0,0.0
0.0,0.88407584399568373,0.0,0.0
0.0,0.88238014490519501,0.0,0.0
0.0,0.88461538461538458,0.0,0.0
0.0,0.87975951903807614,0.0,0.0
0.0,0.88577154308617234,0.0,0.0
0.0,0.88345922614459693,0.0,0.0
0.0,0.88607985201171569,0.0,0.0
0.0,0.88176352705410821,0.0,0.0
0.0,0.8836133806073686,0.0,0.0
0.0,0.88284260829351013,0.0,0.0
0.0,0.88330507168182515,0.0,0.0
0.0,0.87752427932788657,0.0,0.0
0.0,0.88500077077231387,0.0,0.0
0.0,0.88376753507014028,0.0,0.0
0.0,0.88145521812856487,0.0,0.0
0.0,0.88430707568984124,0.0,0.0
0.0,0.88106983197163558,0.0,0.0
0.0,0.878834592261446,0.0,0.0
0.0,0.8887775551102205,0.0,0.0
0.0,0.87937413288114696,0.0,0.0
0.0,0.88669646986280248,0.0,0.0
0.0,0.8842299984584554,0.0,0.0
0.0,0.88731308771388928,0.0,0.0
0.0,0.8836133806073686,0.0,0.0
0.0,0.88338214891321098,0.0,0.0
0.0,0.88299676275628181,0.0,0.0
0.0,0.88569446585478651,0.0,0.0
0.0,0.88199475874826572,0.0,0.0
0.0,0.88469246184677042,0.0,0.0
0.0,0.885463234160629,0.0,0.0
0.0,0.88685062432557427,0.0,0.0
0.0,0.88492369354092804,0.0,0.0
0.0,0.88646523816864498,0.0,0.0
0.0,0.88137814089717892,0.0,0.0
0.0,0.88931709572992135,0.0,0.0
0.0,0.87829505164174504,0.0,0.0
0.0,0.8815322953599507,0.0,0.0
0.0,0.88638816093725914,0.0,0.0
0.0,0.87952828734391864,0.0,0.0
0.0,0.88245722213658084,0.0,0.0
0.0,0.8827655310621243,0.0,0.0
0.0,0.88022198242639127,0.0,0.0
0.0,0.8800678279636196,0.0,0.0
0.0,0.88076152304609223,0.0,0.0
0.0,0.88661939263141665,0.0,0.0
0.0,0.88137814089717892,0.0,0.0
0.0,0.88669646986280248,0.0,0.0
0.0,0.87760135655927241,0.0,0.0
0.0,0.87798674271620158,0.0,0.0
0.0,0.88238014490519501,0.0,0.0
0.0,0.8827655310621243,0.0,0.0
0.0,0.88739016494527512,0.0,0.0
0.0,0.8794512101125328,0.0,0.0
0.0,0.88083860027747807,0.0,0.0
0.0,0.88607985201171569,0.0,0.0
0.0,0.88392168953291195,0.0,0.0
0.0,0.8863110837058733,0.0,0.0
0.0,0.87929705564976102,0.0,0.0
0.0,0.88284260829351013,0.0,0.0
0.0,0.88646523816864498,0.0,0.0
0.0,0.8836133806073686,0.0,0.0
0.0,0.87536611684908283,0.0,0.0
0.0,0.87860336056728838,0.0,0.0
0.0,0.88168644982272237,0.0,0.0
0.0,0.88854632341606288,0.0,0.0
0.0,0.88268845383073835,0.0,0.0
0.0,0.87860336056728838,0.0,0.0
0.0,0.88130106366579308,0.0,0.0
0.0027100271002710023,0.88654231540003081,1.0,0.0013568521031207597
0.0027835768963117608,0.88954832742407897,0.66666666666666663,0.0013947001394700139
0.0,0.87652227531987048,0.0,0.0
0.0,0.8809156775088639,0.0,0.0
0.0,0.88569446585478651,0.0,0.0
0.0,0.87698473870818561,0.0,0.0
0.0,0.87767843379065824,0.0,0.0
0.0,0.88476953907815636,0.0,0.0
0.0,0.8773701248651149,0.0,0.0
0.0,0.88677354709418843,0.0,0.0
0.0,0.8848466163095422,0.0,0.0
0.0025396825396825397,0.87891166949283184,1.0,0.0012714558169103624
0.0,0.88160937259133654,0.0,0.0
0.0,0.88515492523508554,0.0,0.0
0.0,0.89047325420070911,0.0,0.0
0.0,0.88191768151687988,0.0,0.0
0.0,0.88461538461538458,0.0,0.0
0.0,0.88515492523508554,0.0,0.0
0.0,0.88114690920302141,0.0,0.0
0.0,0.88492369354092804,0.0,0.0
0.0,0.88661939263141665,0.0,0.0
0.0,0.88099275474024974,0.0,0.0
0.0,0.87644519808848464,0.0,0.0
0.0,0.89286264837367046,0.0,0.0
0.0,0.88322799445043931,0.0,0.0
0.0,0.88461538461538458,0.0,0.0
0.0,0.8908586403576384,0.0,0.0
0.0,0.88114690920302141,0.0,0.0
0.0,0.88839216895329121,0.0,0.0
