f1,accuracy,precision,recall
0.0,0.88607985201171569,0.0,0.0
0.0,0.88554031139201483,0.0,0.0
0.0,0.88291968552489597,0.0,0.0
0.0,0.88538615692924305,0.0,0.0
0.0,0.88245722213658084,0.0,0.0
0.0,0.87983659626946198,0.0,0.0
0.0,0.88777555110220441,0.0,0.0
0.0,0.8863110837058733,0.0,0.0
0.0,0.88777555110220441,0.0,0.0
0.0,0.88253429936796668,0.0,0.0
0.0,0.88453830738399875,0.0,0.0
0.0,0.88268845383073835,0.0,0.0
0.0,0.88677354709418843,0.0,0.0
0.0014005602240896359,0.89008786804377982,0.33333333333333331,0.00070175438596491223
0.0,0.88554031139201483,0.0,0.0
0.0,0.8800678279636196,0.0,0.0
0.0,0.87914290118698935,0.0,0.0
0.0,0.88777555110220441,0.0,0.0
0.0,0.88746724217666106,0.0,0.0
0.0,0.88769847387081857,0.0,0.0
0.0,0.88330507168182515,0.0,0.0
0.0,0.88600277478032985,0.0,0.0
0.0,0.88099275474024974,0.0,0.0
0.0,0.87567442577462618,0.0,0.0
0.0,0.87844920610451671,0.0,0.0
0.0,0.87891166949283184,0.0,0.0
0.0,0.8794512101125328,0.0,0.0
0.0,0.88369045783875444,0.0,0.0
0.0,0.88700477878834594,0.0,0.0
0.0,0.87536611684908283,0.0,0.0
0.0,0.88785262833359024,0.0,0.0
0.0,0.885463234160629,0.0,0.0
0.0,0.88176352705410821,0.0,0.0
0.0,0.88122398643440725,0.0,0.0
0.0,0.8827655310621243,0.0,0.0
0.0,0.87806381994758753,0.0,0.0
0.0,0.88507784800369971,0.0,0.0
0.0,0.89309388006782797,0.0,0.0
0.0,0.87983659626946198,0.0,0.0
0.0,0.88430707568984124,0.0,0.0
0.0,0.88839216895329121,0.0,0.0
0.0,0.88099275474024974,0.0,0.0
0.0,0.88207183597965166,0.0,0.0
0.0,0.8848466163095422,0.0,0.0
0.0,0.88014490519500543,0.0,0.0
0.0,0.87590565746878368,0.0,0.0
0.0,0.87999075073223365,0.0,0.0
0.0,0.88638816093725914,0.0,0.0
0.0,0.88253429936796668,0.0,0.0
0.0,0.88623400647448747,0.0,0.0
0.0,0.88261137659935252,0.0,0.0
0.0,0.88291968552489597,0.0,0.0
0.0,0.87975951903807614,0.0,0.0
0.0,0.88623400647448747,0.0,0.0
0.0,0.88746724217666106,0.0,0.0
0.0,0.88584862031755818,0.0,0.0
0.0,0.88523200246647138,0.0,0.0
0.0,0.88176352705410821,0.0,0.0
0.0,0.87590565746878368,0.0,0.0
0.0,0.88476953907815636,0.0,0.0
0.0,0.88623400647448747,0.0,0.0
0.0,0.88114690920302141,0.0,0.0
0.0,0.88245722213658084,0.0,0.0
0.0,0.88168644982272237,0.0,0.0
0.0,0.88415292122706957,0.0,0.0
0.0,0.8842299984584554,0.0,0.0
0.0,0.88615692924310163,0.0,0.0
0.0,0.88607985201171569,0.0,0.0
0.0,0.88130106366579308,0.0,0.0
0.0,0.88176352705410821,0.0,0.0
0.0,0.88669646986280248,0.0,0.0
0.0,0.88253429936796668,0.0,0.0
0.0,0.88947125019269313,0.0,0.0
0.0,0.88145521812856487,0.0,0.0
0.0,0.88184060428549405,0.0,0.0
0.0,0.8794512101125328,0.0,0.0
0.0,0.88114690920302141,0.0,0.0
0.0,0.87814089717897337,0.0,0.0
0.0,0.89178356713426854,0.0,0.0
0.0,0.88384461230152611,0.0,0.0
0.0,0.88469246184677042,0.0,0.0
0.0,0.8848466163095422,0.0,0.0
0.0,0.8809156775088639,0.0,0.0
0.0,0.88392168953291195,0.0,0.0
0.0,0.88399876676429778,0.0,0.0
0.0,0.88407584399568373,0.0,0.0
0.0,0.88222599044242334,0.0,0.0
0.0,0.8827655310621243,0.0,0.0
0.0,0.88037613688916294,0.0,0.0
0.0,0.8761368891629413,0.0,0.0
0.0,0.8800678279636196,0.0,0.0
0.0,0.87567442577462618,0.0,0.0
0.0,0.88769847387081857,0.0,0.0
0.0,0.87868043779867422,0.0,0.0
0.0,0.8842299984584554,0.0,0.0
0.0,0.88723601048250345,0.0,0.0
0.0,0.88268845383073835,0.0,0.0
0.0,0.88530907969785722,0.0,0.0
0.0,0.88469246184677042,0.0,0.0
0.0,0.88330507168182515,0.0,0.0
