f1,accuracy,precision,recall
0.70137382501807666,0.54008908685968815,0.54008908685968815,1.0
0.0,0.44543429844097998,0.0,0.0
0.0,0.42650334075723828,0.0,0.0
0.0,0.45768374164810688,0.0,0.0
0.71162123385939735,0.5523385300668151,0.5523385300668151,1.0
0.73074204946996468,0.57572383073496658,0.57572383073496658,1.0
0.0,0.47438752783964366,0.0,0.0
0.69096209912536444,0.5278396436525612,0.5278396436525612,1.0
0.0,0.42093541202672607,0.0,0.0
0.69666182873730043,0.534521158129176,0.534521158129176,1.0
0.0,0.44097995545657015,0.0,0.0
0.0,0.48218262806236079,0.0,0.0
0.72624113475177299,0.57015590200445432,0.57015590200445432,1.0
0.0,0.44766146993318484,0.0,0.0
0.7387640449438202,0.58574610244988867,0.58574610244988867,1.0
0.0,0.43541202672605789,0.0,0.0
0.0,0.4443207126948775,0.0,0.0
0.0,0.43318485523385303,0.0,0.0
0.70698344132469393,0.54677060133630284,0.54677060133630284,1.0
0.0,0.46213808463251671,0.0,0.0
0.72533711852377569,0.56904231625835189,0.56904231625835189,1.0
0.0,0.44097995545657015,0.0,0.0
0.71622587562544682,0.55790645879732736,0.55790645879732736,1.0
0.71438797423049394,0.5556792873051225,0.5556792873051225,1.0
0.72079772079772075,0.56347438752783963,0.56347438752783963,1.0
0.0,0.42761692650334077,0.0,0.0
0.72079772079772075,0.56347438752783963,0.56347438752783963,1.0
0.0,0.46213808463251671,0.0,0.0
0.71530758226037205,0.55679287305122493,0.55679287305122493,1.0
0.69571532316630358,0.53340757238307346,0.53340757238307346,1.0
0.0,0.41091314031180398,0.0,0.0
0.0,0.44988864142538976,0.0,0.0
0.70418470418470414,0.54342984409799555,0.54342984409799555,1.0
0.71254480286738364,0.55345211581291764,0.55345211581291764,1.0
0.0,0.43652561247216037,0.0,0.0
0.74668527564549891,0.59576837416481065,0.59576837416481065,1.0
0.0,0.41870824053452116,0.0,0.0
0.0,0.42650334075723828,0.0,0.0
0.0,0.46436525612472163,0.0,0.0
0.0,0.45545657015590202,0.0,0.0
0.70698344132469393,0.54677060133630284,0.54677060133630284,1.0
0.0,0.4376391982182628,0.0,0.0
0.72714386959603106,0.57126948775055675,0.57126948775055675,1.0
0.0,0.44097995545657015,0.0,0.0
0.0,0.40757238307349664,0.0,0.0
0.75191104933981934,0.60244988864142535,0.60244988864142535,1.0
0.0,0.41759465478841873,0.0,0.0
0.69381818181818189,0.5311804008908686,0.5311804008908686,1.0
0.69760696156635249,0.53563474387527843,0.53563474387527843,1.0
0.0,0.45768374164810688,0.0,0.0
0.7387640449438202,0.58574610244988867,0.58574610244988867,1.0
0.69571532316630358,0.53340757238307346,0.53340757238307346,1.0
0.74843205574912897,0.59799554565701563,0.59799554565701563,1.0
0.72352523098791754,0.56681514476614703,0.56681514476614703,1.0
0.69949312092686455,0.53786191536748329,0.53786191536748329,1.0
0.74581005586592175,0.59465478841870822,0.59465478841870822,1.0
0.0,0.41982182628062359,0.0,0.0
0.0,0.42984409799554568,0.0,0.0
0.71714285714285719,0.55902004454342979,0.55902004454342979,1.0
0.70605187319884721,0.54565701559020041,0.54565701559020041,1.0
0.70231213872832365,0.54120267260579069,0.54120267260579069,1.0
0.0,0.45879732739420936,0.0,0.0
0.70977011494252873,0.55011135857461024,0.55011135857461024,1.0
0.71438797423049394,0.5556792873051225,0.5556792873051225,1.0
0.72261735419630158,0.5657015590200446,0.5657015590200446,1.0
0.69949312092686455,0.53786191536748329,0.53786191536748329,1.0
0.70511896178803168,0.54454342984409798,0.54454342984409798,1.0
0.75450762829403617,0.60579064587973275,0.60579064587973275,1.0
0.73074204946996468,0.57572383073496658,0.57572383073496658,1.0
0.67159763313609477,0.50556792873051226,0.50556792873051226,1.0
0.71069633883704231,0.55122494432071267,0.55122494432071267,1.0
0.0,0.44877505567928733,0.0,0.0
0.70324909747292419,0.54231625835189312,0.54231625835189312,1.0
0.0,0.45879732739420936,0.0,0.0
0.0,0.46436525612472163,0.0,0.0
0.71254480286738364,0.55345211581291764,0.55345211581291764,1.0
0.69571532316630358,0.53340757238307346,0.53340757238307346,1.0
0.71254480286738364,0.55345211581291764,0.55345211581291764,1.0
0.0,0.40645879732739421,0.0,0.0
0.0,0.44209354120267258,0.0,0.0
0.0,0.46993318485523383,0.0,0.0
0.0,0.44877505567928733,0.0,0.0
0.75017397355601945,0.60022271714922049,0.60022271714922049,1.0
0.70137382501807666,0.54008908685968815,0.54008908685968815,1.0
0.71622587562544682,0.55790645879732736,0.55790645879732736,1.0
0.71714285714285719,0.55902004454342979,0.55902004454342979,1.0
0.67257945306725797,0.50668151447661469,0.50668151447661469,1.0
0.0,0.42538975501113585,0.0,0.0
0.69666182873730043,0.534521158129176,0.534521158129176,1.0
0.0,0.45545657015590202,0.0,0.0
0.0,0.45434298440979953,0.0,0.0
0.0,0.43095768374164811,0.0,0.0
0.0,0.43541202672605789,0.0,0.0
0.70511896178803168,0.54454342984409798,0.54454342984409798,1.0
0.0,0.47104677060133632,0.0,0.0
0.70324909747292419,0.54231625835189312,0.54231625835189312,1.0
0.0,0.47216035634743875,0.0,0.0
0.72352523098791754,0.56681514476614703,0.56681514476614703,1.0
0.70884255930984907,0.54899777282850781,0.54899777282850781,1.0
0.0,0.43318485523385303,0.0,0.0
