f1,accuracy,precision,recall
0.86588658865886581,0.83407572383073492,0.80840336134453783,0.93217054263565891
0.85434995112414469,0.83407572383073492,0.8468992248062015,0.86193293885601574
0.86491739552964042,0.84521158129175944,0.86240310077519378,0.86744639376218324
0.86931818181818188,0.84632516703786187,0.84842883548983361,0.89126213592233006
0.86771507863089736,0.84075723830734972,0.79761904761904767,0.9513184584178499
0.8290353390639924,0.80066815144766146,0.7667844522968198,0.90228690228690234
0.869140625,0.8507795100222717,0.8460076045627376,0.89357429718875503
0.86259541984732835,0.83964365256124718,0.81294964028776984,0.91869918699186992
0.84865900383141768,0.82405345211581293,0.82649253731343286,0.87204724409448819
0.84810126582278489,0.81291759465478841,0.80308219178082196,0.8984674329501916
0.87033747779751336,0.83741648106904232,0.79159935379644586,0.9664694280078896
0.86203423967774417,0.84743875278396441,0.83268482490272377,0.89352818371607512
0.84281581485053025,0.81848552338530067,0.82452830188679249,0.86193293885601574
0.88306828811973814,0.86080178173719379,0.85352622061482819,0.9147286821705426
0.87081339712918659,0.84966592427616927,0.85205992509363293,0.8904109589041096
0.8385864374403057,0.81180400890868598,0.79385171790235076,0.88866396761133604
0.83943661971830985,0.80957683741648112,0.81718464351005482,0.86293436293436299
0.86897880539499039,0.84855233853006684,0.84774436090225569,0.89130434782608692
0.8589174800354924,0.8229398663697105,0.78699186991869918,0.9453125
0.86159486709440869,0.83184855233853006,0.77557755775577553,0.96907216494845361
0.8402903811252268,0.80400890868596886,0.76528925619834709,0.93158953722334004
0.86078431372549014,0.84187082405345215,0.79818181818181821,0.93404255319148932
0.85485485485485491,0.83853006681514475,0.83073929961089499,0.8804123711340206
0.87511916110581511,0.8541202672605791,0.82110912343470488,0.93673469387755104
0.86727456940222891,0.8541202672605791,0.8716904276985743,0.86290322580645162
0.87771203155818545,0.86191536748329622,0.83804143126177022,0.92132505175983437
0.87836583101207055,0.8541202672605791,0.84014209591474243,0.92023346303501941
0.86792452830188682,0.83630289532293989,0.8158783783783784,0.92706333973128596
0.8721804511278195,0.84855233853006684,0.83754512635379064,0.90980392156862744
0.88240656335460355,0.85634743875278396,0.86583184257602863,0.8996282527881041
0.86908077994428967,0.84298440979955458,0.80968858131487886,0.93787575150300606
0.84368737474949895,0.82628062360801779,0.83201581027667981,0.85569105691056913
0.8424015009380863,0.81291759465478841,0.7741379310344827,0.9238683127572016
0.90086621751684304,0.8853006681514477,0.89827255278310936,0.90347490347490345
0.86818632309217048,0.85189309576837413,0.83111954459203041,0.90871369294605808
0.8539094650205763,0.84187082405345215,0.80896686159844056,0.9041394335511983
0.86545454545454548,0.83518930957683746,0.81090289608177168,0.9278752436647173
0.85767097966728278,0.82850779510022277,0.78510998307952617,0.94501018329938902
0.85599194360523656,0.84075723830734972,0.80645161290322565,0.91201716738197425
0.86534653465346545,0.84855233853006684,0.83079847908745252,0.90289256198347112
0.8764044943820225,0.85300668151447656,0.8196147110332751,0.94164989939637822
0.87558465855940137,0.85189309576837413,0.8312611012433393,0.92490118577075098
