f1,accuracy,precision,recall
0.16861826697892274,0.74822695035460995,0.15517241379310345,0.18461538461538463
0.26972010178117051,0.79645390070921984,0.23981900452488689,0.30813953488372092
0.13550135501355015,0.7737588652482269,0.13020833333333334,0.14124293785310735
0.19101123595505617,0.79574468085106387,0.20858895705521471,0.17616580310880828
0.21553884711779447,0.77801418439716308,0.20283018867924529,0.22994652406417113
0.15384615384615383,0.75035460992907799,0.13114754098360656,0.18604651162790697
0.22273781902552203,0.76241134751773054,0.21428571428571427,0.2318840579710145
0.1891117478510029,0.79929078014184396,0.18965517241379309,0.18857142857142858
0.16097560975609757,0.75602836879432622,0.15942028985507245,0.1625615763546798
0.11494252873563218,0.78156028368794328,0.12048192771084337,0.10989010989010989
0.14619883040935669,0.79290780141843975,0.14880952380952381,0.14367816091954022
0.22222222222222221,0.78652482269503543,0.21827411167512689,0.22631578947368422
0.18469656992084435,0.7808510638297872,0.17412935323383086,0.19662921348314608
0.17910447761194026,0.80496453900709219,0.20689655172413793,0.15789473684210525
0.15340909090909091,0.78865248226950357,0.13500000000000001,0.17763157894736842
0.17326732673267325,0.76312056737588652,0.15217391304347827,0.20114942528735633
0.16097560975609757,0.75602836879432622,0.15348837209302327,0.16923076923076924
0.22601279317697229,0.74255319148936172,0.19272727272727272,0.27319587628865977
0.18716577540106952,0.7843971631205674,0.22151898734177214,0.16203703703703703
0.27602905569007263,0.78794326241134749,0.2556053811659193,0.29999999999999999
0.12631578947368419,0.76453900709219857,0.12698412698412698,0.1256544502617801
0.16966580976863754,0.77092198581560278,0.16500000000000001,0.17460317460317459
0.22857142857142859,0.78936170212765955,0.26666666666666666,0.20000000000000001
0.14210526315789471,0.76879432624113475,0.13636363636363635,0.14835164835164835
0.22572178477690288,0.79078014184397161,0.22279792746113988,0.22872340425531915
0.16766467065868262,0.80283687943262416,0.17073170731707318,0.16470588235294117
0.13367609254498714,0.76099290780141848,0.15116279069767441,0.11981566820276497
0.125748502994012,0.79290780141843975,0.12352941176470589,0.12804878048780488
0.12658227848101267,0.75531914893617025,0.1111111111111111,0.14705882352941177
0.1253731343283582,0.79219858156028367,0.13043478260869565,0.1206896551724138
0.13541666666666669,0.76453900709219857,0.12440191387559808,0.14857142857142858
