measure,cost
0.22441510913606066,399
0.22149122807017546,303
0.23675574308485703,185
0.25437754857279921,232
0.34662721893491127,265
0.17461608868097225,241
0.25624512099921931,296
0.091609977324263042,200
0.30386969602655872,167
0.29749631811487481,297
0.24782235308551098,371
0.30127840909090914,239
0.26653213287798821,297
0.19007931173544831,310
0.19914902449149027,247
0.33939208797922715,293
0.24779910520998702,172
0.33073622402890696,329
0.21532120523024442,265
0.2780371035308199,380
0.27073478397981704,296
0.17818765036086609,291
0.13199477248425806,133
0.32969060459835364,277
0.23477972105379677,199
0.43625963109969651,338
0.26981300089047194,249
0.22177279556223273,407
0.18054136874361593,244
0.18523613021549751,151
0.24362873623492393,192
0.23374218930803062,286
0.36513879922530668,219
0.41928044280442811,410
0.36274392433856101,283
0.16113271512613425,214
0.34983240223463685,248
0.3032332563510392,400
0.22103343465045594,134
0.28212290502793297,314
0.26016351215141675,126
0.32558764271323043,260
0.21325155841544341,328
0.16181575433911882,264
0.15724739218433753,184
0.3391632852945291,277
0.17611159546643421,216
0.29057146593435335,304
0.25972719141323797,276
0.30566364029399046,304
0.1590217277212134,200
0.33503444756315393,172
0.21795947728090154,295
0.35259207540583004,254
0.25692481628038438,632
0.17701829335085995,205
0.13516728624535315,218
0.2432136602451839,209
0.3341817256299312,372
0.2948745674740485,275
0.37050623624358026,531
0.25814696485623001,486
0.27510658455708198,271
0.27494378032903305,321
0.28844933361540093,337
0.39633747547416609,435
0.29923998454205847,454
0.28174651303820497,279
0.2232866617538688,303
0.31795616902772728,386
0.28305732484076429,336
0.17924914675767917,180
0.25755919854280507,201
0.26633460298857314,130
0.27075155576831023,246
0.14977226988666456,350
0.28870340727189575,272
0.2624980889772206,288
0.407258064516129,501
0.47519827933862074,79
0.37069452286843591,624
0.20333296051895761,301
0.33468895918059943,214
0.30239520958083832,308
0.17902511078286559,453
0.40821382007822682,435
0.13994734654288488,132
0.25464130185652079,105
0.29428904428904429,488
0.35186922149269734,418
0.25775169069797116,228
0.18453808381865935,481
0.27997227997227997,402
0.26176653535144107,281
0.26377644293549229,436
0.24217719697877949,273
0.15031482541499713,294
0.21193998531109007,185
0.29889695991390924,258
0.2511079883255864,349
