measure,cost
0.34139096589163159,364
0.30022550225502254,338
0.17513818142408152,186
0.23639555295494441,315
0.15216131649090275,233
0.2990288962576978,249
0.27647132014433246,208
0.21191775073436844,195
0.2405772733641586,254
0.36668011294876962,147
0.26930571223464261,321
0.22233808365195226,187
0.24458322712210043,329
0.2420031148915778,333
0.36315101329265637,508
0.34253875968992248,334
0.1619887730553328,302
0.23513891044544474,329
0.42264940499542303,194
0.27326839826839827,217
0.32291296625222027,237
0.2863771104523779,425
0.2038088031277589,193
0.31257253384912959,363
0.40825575698187166,358
0.27083798882681565,325
0.32456909144025714,286
0.22560379729163757,525
0.21124507874015747,174
0.2118510749868904,225
0.25708665972463263,274
0.4991762767710049,516
0.28030966988022205,319
0.31309460181721005,324
0.2135837790769996,283
0.26770568278201862,139
0.32434168272318559,183
0.29157979149959906,214
0.27411511930340376,254
0.22990295914699893,344
0.15196539401918377,270
0.19198713262172834,315
0.37942317014057203,261
0.58193132058077912,316
0.32183692596063734,216
0.26269365599909533,265
0.3012677106636838,276
0.14703247480403134,246
0.32097457627118647,331
0.21902414982750118,309
0.45798497945302535,288
0.23385998365567964,306
0.22441819670214008,386
0.15161912931589103,199
0.26236729161960698,375
0.20567937549496554,280
0.06652761005598859,115
0.23612649194044544,142
0.23194692523602958,260
0.35601367229224529,350
0.26586721263527346,250
0.34375279892521271,343
0.32528180354267316,330
0.26739383670443712,249
0.25103562551781278,245
0.30546554331389075,364
0.24502042900919305,189
0.22863093082216587,275
0.2695729537366548,309
0.22037365334787939,227
0.21174004192872117,220
0.30886850152905204,294
0.2939607082221683,278
0.22313397506706642,279
0.24137015400955916,197
0.13311993974769346,172
0.33770347558293007,345
0.40132450331125824,294
0.1589716684155299,184
0.33472443844359884,254
0.21245267143458144,216
0.24301099908340973,136
0.38851901168811953,371
0.072792792792792785,267
0.35086248203162435,244
0.35526588040554524,382
0.41409866419785746,344
0.31647757968665585,323
0.34198645598194133,522
0.19675324675324676,294
0.21206606942889142,346
0.33892617449664431,327
0.18486882245271505,240
0.34157683365039099,362
0.24761290322580651,368
0.24508614413977195,282
0.31876282152438057,213
0.18699375144642441,330
0.058577891195916956,241
0.2956328298794052,220
