f1,accuracy,precision,recall
0.0,0.91511920083348652,0.0,0.0
0.0,0.92443463872035303,0.0,0.0
0.0,0.91996077710363422,0.0,0.0
0.0,0.92400563829135263,0.0,0.0
0.0,0.92369920941349515,0.0,0.0
0.0,0.9210639210639211,0.0,0.0
0.0,0.92081877796163514,0.0,0.0
0.0,0.92302506588220878,0.0,0.0
0.0,0.91530305816020097,0.0,0.0
0.0,0.92241220812649383,0.0,0.0
0.0,0.91665134522277381,0.0,0.0
0.0,0.9287859287859288,0.0,0.0
0.0,0.92308635165778019,0.0,0.0
0.0,0.92247349390206534,0.0,0.0
0.0,0.91996077710363422,0.0,0.0
0.0,0.92320892320892323,0.0,0.0
0.0,0.92541521112949687,0.0,0.0
0.0,0.92155420726849302,0.0,0.0
0.0,0.92639578353864072,0.0,0.0
0.0,0.9194704908990623,0.0,0.0
0.0,0.91646748789605936,0.0,0.0
0.0,0.92425078139363859,0.0,0.0
0.0,0.92602806888521172,0.0,0.0
0.0,0.92296378010663727,0.0,0.0
0.0,0.92167677881963594,0.0,0.0
0.0,0.92210577924863635,0.0,0.0
0.0,0.92094134951277806,0.0,0.0
0.0,0.92210577924863635,0.0,0.0
0.0,0.91873506159220442,0.0,0.0
0.0,0.92480235337378192,0.0,0.0
0.0,0.92351535208678071,0.0,0.0
0.0,0.92020592020592018,0.0,0.0
0.0,0.92376049518906667,0.0,0.0
0.0,0.91898020469449038,0.0,0.0
0.0,0.92400563829135263,0.0,0.0
0.0,0.9255377826806398,0.0,0.0
0.0,0.92425078139363859,0.0,0.0
0.0,0.92290249433106575,0.0,0.0
0.0,0.92088006373720654,0.0,0.0
0.0,0.91965434822577685,0.0,0.0
0.0,0.92290249433106575,0.0,0.0
0.0,0.92425078139363859,0.0,0.0
0.0,0.92418949561806707,0.0,0.0
0.0,0.92700864129435556,0.0,0.0
0.0,0.92608935466078324,0.0,0.0
0.0,0.92241220812649383,0.0,0.0
0.0,0.92290249433106575,0.0,0.0
0.0,0.92523135380278232,0.0,0.0
0.0,0.92075749218606362,0.0,0.0
0.0,0.92584421155849728,0.0,0.0
0.0,0.92817307103021385,0.0,0.0
0.0,0.9263344977630692,0.0,0.0
0.0,0.92363792363792363,0.0,0.0
0.0,0.92792792792792789,0.0,0.0
0.0,0.92296378010663727,0.0,0.0
0.0,0.92198320769749342,0.0,0.0
0.0,0.92302506588220878,0.0,0.0
0.0,0.92418949561806707,0.0,0.0
0.0,0.92535392535392536,0.0,0.0
0.0,0.92198320769749342,0.0,0.0
0.0,0.92192192192192191,0.0,0.0
0.0,0.92400563829135263,0.0,0.0
0.0,0.92014463443034866,0.0,0.0
0.0,0.92112520683949251,0.0,0.0
0.0,0.92155420726849302,0.0,0.0
0.0,0.9214929214929215,0.0,0.0
0.0,0.92014463443034866,0.0,0.0
0.0,0.91983820555249129,0.0,0.0
0.0,0.92290249433106575,0.0,0.0
0.0,0.92320892320892323,0.0,0.0
0.0,0.92137034994177847,0.0,0.0
0.0,0.92155420726849302,0.0,0.0
0.0,0.92198320769749342,0.0,0.0
0.0,0.92394435251578111,0.0,0.0
0.0,0.92327020898449474,0.0,0.0
0.0,0.91891891891891897,0.0,0.0
0.0,0.92357663786235211,0.0,0.0
0.0,0.92179935037077898,0.0,0.0
0.0,0.91977691977691978,0.0,0.0
0.0,0.92498621070049647,0.0,0.0
0.0,0.92265735122877979,0.0,0.0
0.0,0.92308635165778019,0.0,0.0
0.0,0.92541521112949687,0.0,0.0
0.0,0.92222835079977938,0.0,0.0
0.0,0.92590549733406879,0.0,0.0
0.0,0.92222835079977938,0.0,0.0
0.0,0.92498621070049647,0.0,0.0
0.0,0.92455721027149596,0.0,0.0
0.0,0.92467978182263899,0.0,0.0
0.0,0.92688606974321264,0.0,0.0
0.0,0.9222896365753509,0.0,0.0
0.0,0.9214929214929215,0.0,0.0
0.0,0.92376049518906667,0.0,0.0
0.0,0.92639578353864072,0.0,0.0
0.0,0.92363792363792363,0.0,0.0
0.0,0.92173806459520746,0.0,0.0
0.0,0.92535392535392536,0.0,0.0
0.0,0.92351535208678071,0.0,0.0
0.0,0.92363792363792363,0.0,0.0
0.0,0.92437335294478151,0.0,0.0
